Date,Close,Volume
2006-05-25,4.599999904632568,395343000
2006-05-26,4.493000030517578,103044000
2006-05-30,4.400000095367432,49898000
2006-05-31,4.49399995803833,30002000
2006-06-01,4.750999927520752,62344000
2006-06-02,4.698999881744385,37253000
2006-06-05,4.914999961853027,37188000
2006-06-06,4.829999923706055,49045000
2006-06-07,4.760000228881836,25013000
2006-06-08,4.771999835968018,34439000
2006-06-09,4.7779998779296875,13372000
2006-06-12,4.695000171661377,14546000
2006-06-13,4.550000190734863,16716000
2006-06-14,4.51200008392334,15971000
2006-06-15,4.59499979019165,16500000
2006-06-16,4.501999855041504,12280000
2006-06-19,4.434000015258789,11509000
2006-06-20,4.4019999504089355,23792000
2006-06-21,4.53000020980835,18063000
2006-06-22,4.659999847412109,13038000
2006-06-23,4.695000171661377,11612000
2006-06-26,4.75,8565000
2006-06-27,4.730999946594238,9826000
2006-06-28,4.696000099182129,8756000
2006-06-29,4.800000190734863,14470000
2006-06-30,4.800000190734863,25964000
2006-07-03,4.730000019073486,7029000
2006-07-05,4.760000228881836,13266000
2006-07-06,4.679999828338623,8097000
2006-07-07,4.611999988555908,8380000
2006-07-10,4.64900016784668,4978000
2006-07-11,4.635000228881836,8079000
2006-07-12,4.554999828338623,7672000
2006-07-13,4.4720001220703125,16625000
2006-07-14,4.394999980926514,9663000
2006-07-17,4.39900016784668,6458000
2006-07-18,4.389999866485596,12483000
2006-07-19,4.5279998779296875,15840000
2006-07-20,4.554999828338623,8829000
2006-07-21,4.5279998779296875,8510000
2006-07-24,4.5,5017000
2006-07-25,4.607999801635742,6900000
2006-07-26,4.668000221252441,10338000
2006-07-27,4.6519999504089355,6009000
2006-07-28,4.630000114440918,4339000
2006-07-31,4.586999893188477,4616000
2006-08-01,4.5,7390000
2006-08-02,5.001999855041504,53372000
2006-08-03,4.999000072479248,21689000
2006-08-04,5.005000114440918,14216000
2006-08-07,5.110000133514404,6918000
2006-08-08,5.256999969482422,14073000
2006-08-09,5.284999847412109,15043000
2006-08-10,5.355999946594238,8725000
2006-08-11,5.368000030517578,9078000
2006-08-14,5.422999858856201,6314000
2006-08-15,5.448999881744385,8553000
2006-08-16,5.427000045776367,15344000
2006-08-17,5.3460001945495605,10216000
2006-08-18,5.34499979019165,9343000
2006-08-21,5.426000118255615,12487000
2006-08-22,5.5229997634887695,9761000
2006-08-23,5.460000038146973,10439000
2006-08-24,5.565000057220459,5420000
2006-08-25,5.5,8016000
2006-08-28,5.501999855041504,3748000
2006-08-29,5.534999847412109,3211000
2006-08-30,5.525000095367432,5801000
2006-08-31,5.590000152587891,7023000
2006-09-01,5.65500020980835,20559000
