Date,Close,Volume
2000-05-19,39.25,2577700
2000-05-22,39.75,6425600
2000-05-23,39.4375,2896700
2000-05-24,40.75,5443100
2000-05-25,39.9375,4494200
2000-05-26,41.0,3261000
2000-05-30,41.0,4196400
2000-05-31,40.6875,3222300
2000-06-01,40.0625,3685900
2000-06-02,40.3125,3212200
2000-06-05,39.5,1968300
2000-06-06,41.0,3996900
2000-06-07,41.3125,3652200
2000-06-08,42.4375,5686600
2000-06-09,41.25,3119600
2000-06-12,41.96875,3470300
2000-06-13,42.8125,6619800
2000-06-14,43.5,5736800
2000-06-15,43.375,5856600
2000-06-16,43.75,6044800
2000-06-19,43.6875,3689700
2000-06-20,41.125,4306500
2000-06-21,42.25,3783800
2000-06-22,41.9375,3282800
2000-06-23,42.0625,3736600
2000-06-26,43.5625,3391700
2000-06-27,43.4375,3950800
2000-06-28,43.40625,3043400
2000-06-29,42.75,2972300
2000-06-30,44.4375,8258100
2000-07-03,43.0,2001300
2000-07-05,43.375,3503900
2000-07-06,43.875,2527700
2000-07-07,42.4375,3557000
2000-07-10,40.9375,4691100
2000-07-11,40.625,4122500
2000-07-12,39.75,4286200
2000-07-13,40.375,6162000
2000-07-14,41.6875,4642400
2000-07-17,42.875,4521700
2000-07-18,43.0,4271500
2000-07-19,43.375,4328300
2000-07-20,43.75,3817100
2000-07-21,44.25,3349900
2000-07-24,43.625,2646100
2000-07-25,44.125,3886800
2000-07-26,43.8125,5400100
2000-07-27,44.3125,2512400
2000-07-28,44.75,4039000
2000-07-31,45.8125,5129900
2000-08-01,45.875,3561500
2000-08-02,45.625,2421300
2000-08-03,45.125,4031300
2000-08-04,45.0625,3164100
2000-08-07,44.625,1840800
2000-08-08,44.4375,3456700
2000-08-09,44.0,3574900
2000-08-10,45.0625,3483600
2000-08-11,45.8125,3756900
2000-08-14,47.0,3871000
2000-08-15,45.9375,2480000
2000-08-16,44.0,6676000
2000-08-17,43.484375,2585300
2000-08-18,43.875,2598500
2000-08-21,44.3125,1403900
2000-08-22,43.25,1776100
2000-08-23,43.34375,1402600
2000-08-24,43.5,1717800
2000-08-25,42.75,1763600
2000-08-28,43.3125,2069600
2000-08-29,42.5,1903100
2000-08-30,41.9375,2949200
2000-08-31,42.640625,3010600
2000-09-01,42.3125,1963400
2000-09-05,42.75,2666800
2000-09-06,41.9375,2212800
2000-09-07,43.1875,3596700
2000-09-08,42.5625,1851500
2000-09-11,42.75,1632100
2000-09-12,43.875,2005100
2000-09-13,44.6875,3228600
2000-09-14,44.125,2946200
2000-09-15,43.75,3424000
2000-09-18,44.0,1400100
2000-09-19,43.890625,1910900
2000-09-20,41.625,3316700
2000-09-21,43.375,3298400
2000-09-22,45.375,5068300
2000-09-25,44.8125,2139600
2000-09-26,44.4375,2111100
2000-09-27,45.5,2391100
2000-09-28,45.25,2132700
2000-09-29,46.0,4468400
2000-10-02,47.375,5036700
2000-10-03,46.0,5674900
2000-10-04,45.125,4715900
2000-10-05,45.8125,3692400
2000-10-06,46.375,3146600
2000-10-09,47.0625,3206800
2000-10-10,47.375,3103300
2000-10-11,46.8125,4115900
2000-10-12,47.875,3015000
2000-10-13,45.5,4018400
2000-10-16,46.625,2682800
2000-10-17,47.125,2980700
2000-10-18,47.9375,5059900
2000-10-19,47.8125,4484100
2000-10-20,46.5625,3733600
2000-10-23,46.75,2692900
2000-10-24,46.125,4007100
2000-10-25,48.5,4701800
2000-10-26,47.0,4217400
2000-10-27,48.125,3375200
2000-10-30,49.125,5567600
2000-10-31,48.4375,2943700
2000-11-01,48.0,5354900
2000-11-02,47.0625,5017400
2000-11-03,45.8125,4642300
2000-11-06,47.5,4378400
2000-11-07,47.125,2825900
2000-11-08,47.375,3165100
2000-11-09,49.0,4067300
2000-11-10,48.8125,3473400
2000-11-13,48.1875,3555200
2000-11-14,47.8125,2973200
2000-11-15,46.5625,6891500
2000-11-16,44.3125,5850300
2000-11-17,43.9375,6213100
2000-11-20,45.0,6648300
2000-11-21,46.5,6272100
2000-11-22,44.75,4202200
2000-11-24,44.5,1673500
2000-11-27,44.375,2943200
2000-11-28,45.125,3270800
2000-11-29,45.375,2749100
2000-11-30,45.375,4043800
2000-12-01,42.375,12101200
2000-12-04,43.8125,12372900
2000-12-05,44.1875,6618500
