Date,Close,Volume
2000-08-10,7.15625,143929200
2000-08-11,7.140625,25139200
2000-08-14,7.109375,6935200
2000-08-15,7.140625,9078800
2000-08-16,7.328125,11728000
2000-08-17,7.6875,7148000
2000-08-18,7.25,8824800
2000-08-21,7.28125,6075200
2000-08-22,7.359375,5407600
2000-08-23,7.53125,7268400
2000-08-24,7.375,5224400
2000-08-25,7.5625,2186800
2000-08-28,7.53125,2670800
2000-08-29,7.78125,6166400
2000-08-30,8.0625,8611200
2000-08-31,7.953125,4484400
2000-09-01,7.796875,5405600
2000-09-05,7.84375,3062400
2000-09-06,8.25,6776000
2000-09-07,8.34375,5206800
2000-09-08,8.1875,5362800
2000-09-11,8.328125,6394400
2000-09-12,8.046875,7189200
2000-09-13,7.71875,5692400
2000-09-14,7.59375,6436000
2000-09-15,7.5625,4436400
2000-09-18,7.34375,3819200
2000-09-19,7.390625,3072400
2000-09-20,7.53125,6325200
2000-09-21,7.328125,3255600
2000-09-22,7.25,4007200
2000-09-25,7.359375,3151600
2000-09-26,7.578125,1533600
2000-09-27,7.546875,4248800
2000-09-28,7.5,4384800
2000-09-29,7.515625,2407600
2000-10-02,7.53125,3382400
2000-10-03,7.578125,2693600
2000-10-04,7.578125,1054000
2000-10-05,7.609375,4484000
2000-10-06,7.4375,2583600
2000-10-09,7.5,1610800
2000-10-10,7.625,4442000
2000-10-11,7.625,4415200
2000-10-12,7.953125,5707200
2000-10-13,7.734375,2770000
2000-10-16,7.5,2358000
2000-10-17,7.265625,2868000
2000-10-18,7.34375,9335600
2000-10-19,7.4375,4136000
2000-10-20,7.28125,3190000
2000-10-23,7.0,2953200
2000-10-24,6.75,6871200
2000-10-25,6.578125,4284000
2000-10-26,7.0,4966400
2000-10-27,7.09375,5050400
2000-10-30,7.1875,2144800
2000-10-31,7.265625,2072400
2000-11-01,7.34375,2196400
2000-11-02,7.265625,613200
2000-11-03,7.0625,2234400
2000-11-06,7.140625,898800
2000-11-07,7.265625,1193200
2000-11-08,7.125,2472400
2000-11-09,7.0,3443200
2000-11-10,6.9375,2756000
2000-11-13,6.984375,3948400
2000-11-14,7.0625,2870400
2000-11-15,7.109375,1294400
2000-11-16,7.34375,2372000
2000-11-17,7.078125,2003600
2000-11-20,7.203125,1155200
2000-11-21,7.34375,2858000
2000-11-22,7.1875,3782000
2000-11-24,6.90625,1526400
2000-11-27,6.71875,4482800
2000-11-28,6.65625,3495600
2000-11-29,6.640625,3479600
2000-11-30,6.4375,5722000
2000-12-01,6.5,2557600
2000-12-04,6.46875,1984400
2000-12-05,6.59375,2255600
2000-12-06,6.078125,7922400
2000-12-07,6.15625,3490400
2000-12-08,6.171875,8711600
2000-12-11,6.171875,3858400
2000-12-12,6.09375,3153200
2000-12-13,6.28125,5368400
2000-12-14,6.515625,5382400
2000-12-15,6.4375,2762000
2000-12-18,6.421875,1403600
2000-12-19,6.34375,2298000
2000-12-20,6.21875,4764400
2000-12-21,6.15625,4501600
2000-12-22,6.21875,3041600
2000-12-26,6.125,3395600
2000-12-27,6.140625,4597200
2000-12-28,6.296875,4428400
2000-12-29,6.3125,2417200
2001-01-02,6.4375,4485200
2001-01-03,6.90625,4673600
2001-01-04,6.828125,5982400
2001-01-05,6.703125,1979200
2001-01-08,6.734375,1747600
2001-01-09,6.8125,1227600
2001-01-10,6.859375,2758400
2001-01-11,6.875,1554000
2001-01-12,6.984375,5169200
2001-01-16,7.296875,9261200
2001-01-17,7.3125,8965600
2001-01-18,7.46875,4100000
2001-01-19,7.34375,3832400
2001-01-22,7.25,1472000
2001-01-23,7.28125,2137200
2001-01-24,6.96875,3751600
2001-01-25,6.9375,6723200
2001-01-26,6.9375,3462000
2001-01-29,6.929999828338623,2103600
2001-01-30,7.079999923706055,1544000
2001-01-31,7.070000171661377,2807200
2001-02-01,6.889999866485596,1158800
2001-02-02,6.855000019073486,1832800
2001-02-05,6.849999904632568,1951200
2001-02-06,6.894999980926514,944400
2001-02-07,6.932499885559082,2239600
2001-02-08,7.09250020980835,1375200
2001-02-09,7.224999904632568,2858000
2001-02-12,7.202499866485596,1534800
2001-02-13,7.340000152587891,3938800
2001-02-14,7.514999866485596,4476400
2001-02-15,7.412499904632568,2663600
2001-02-16,7.397500038146973,3854000
2001-02-20,7.237500190734863,10009600
2001-02-21,7.0,3223600
2001-02-22,7.045000076293945,4336800
2001-02-23,7.179999828338623,1638400
2001-02-26,7.425000190734863,1047200
2001-02-27,7.380000114440918,1512800
2001-02-28,7.132500171661377,3392800
2001-03-01,7.1875,2425200
2001-03-02,7.295000076293945,36326000
2001-03-05,7.257500171661377,638400
2001-03-06,7.255000114440918,1480800
2001-03-07,7.262499809265137,1121600
2001-03-08,7.287499904632568,3646400
2001-03-09,7.287499904632568,3542000
2001-03-12,7.0,1652000
2001-03-13,7.037499904632568,3672400
2001-03-14,6.875,4394400
2001-03-15,6.400000095367432,7105600
2001-03-16,6.559999942779541,9371600
2001-03-19,6.477499961853027,6456000
2001-03-20,6.53000020980835,6086000
2001-03-21,6.262499809265137,6921200
2001-03-22,5.925000190734863,8450000
2001-03-23,5.800000190734863,13124400
2001-03-26,6.105000019073486,4019200
2001-03-27,6.275000095367432,3975600
2001-03-28,6.127500057220459,1973200
2001-03-29,5.887499809265137,2644800
2001-03-30,5.949999809265137,3025600
2001-04-02,5.724999904632568,2530400
2001-04-03,5.699999809265137,2024000
2001-04-04,5.824999809265137,1977600
2001-04-05,6.275000095367432,3377600
2001-04-06,6.40500020980835,2994800
2001-04-09,6.434999942779541,1568400
2001-04-10,6.452499866485596,3004000
2001-04-11,6.3125,2570000
2001-04-12,6.162499904632568,5829200
2001-04-16,6.019999980926514,3740400
2001-04-17,6.085000038146973,34888800
2001-04-18,6.387499809265137,4412800
2001-04-19,6.227499961853027,2996000
2001-04-20,5.872499942779541,5630000
2001-04-23,6.170000076293945,5054000
2001-04-24,6.402500152587891,3708800
2001-04-25,6.474999904632568,2227600
2001-04-26,6.737500190734863,4819200
2001-04-27,6.712500095367432,2803600
2001-04-30,6.75,3209600
2001-05-01,6.739999771118164,510800
2001-05-02,6.712500095367432,3426800
2001-05-03,6.912499904632568,4237200
2001-05-04,6.837500095367432,3036400
2001-05-07,6.622499942779541,1808400
2001-05-08,6.527500152587891,1496800
2001-05-09,6.622499942779541,2218400
2001-05-10,6.849999904632568,6503200
2001-05-11,6.75,2779600
2001-05-14,6.675000190734863,3064800
2001-05-15,6.550000190734863,2452800
2001-05-16,6.699999809265137,2241600
2001-05-17,6.800000190734863,3949200
2001-05-18,6.909999847412109,1115600
2001-05-21,6.934999942779541,2508800
2001-05-22,6.987500190734863,4014800
2001-05-23,7.0,4173200
2001-05-24,6.925000190734863,2787200
2001-05-25,6.847499847412109,2462000
2001-05-29,6.887499809265137,3732400
2001-05-30,6.925000190734863,2528000
2001-05-31,7.074999809265137,1848800
2001-06-01,7.099999904632568,3704000
2001-06-04,7.362500190734863,3863600
2001-06-05,7.212500095367432,6273600
2001-06-06,6.949999809265137,7012000
2001-06-07,6.824999809265137,4325200
2001-06-08,6.71999979019165,1804400
2001-06-11,6.757500171661377,2499200
2001-06-12,6.690000057220459,6809200
2001-06-13,6.800000190734863,4406800
2001-06-14,6.742499828338623,1822800
2001-06-15,6.637499809265137,1870800
2001-06-18,6.512499809265137,3352000
2001-06-19,6.492499828338623,3200000
2001-06-20,6.664999961853027,1720400
2001-06-21,6.900000095367432,2033200
2001-06-22,6.835000038146973,2630400
2001-06-25,6.75,2558400
2001-06-26,6.730000019073486,2544000
2001-06-27,6.525000095367432,4125200
2001-06-28,6.462500095367432,6190800
2001-06-29,6.5,2635200
2001-07-02,6.324999809265137,4241600
2001-07-03,6.199999809265137,3028800
2001-07-05,5.925000190734863,4528000
2001-07-06,6.010000228881836,7815200
2001-07-09,6.0,854800
2001-07-10,5.90749979019165,1786000
2001-07-11,6.047500133514404,4108800
2001-07-12,5.902500152587891,1933200
2001-07-13,5.800000190734863,8064000
2001-07-16,5.537499904632568,8964800
2001-07-17,5.659999847412109,4691600
2001-07-18,5.387499809265137,13278400
2001-07-19,5.462500095367432,6802400
2001-07-20,5.724999904632568,2290000
2001-07-23,5.952499866485596,1692000
2001-07-24,5.800000190734863,1842000
2001-07-25,5.820000171661377,2417600
2001-07-26,5.875,1641600
2001-07-27,5.980000019073486,1326400
2001-07-30,6.059999942779541,902800
2001-07-31,5.892499923706055,1320400
2001-08-01,5.775000095367432,1049600
2001-08-02,5.630000114440918,1892400
2001-08-03,5.789999961853027,1414000
2001-08-06,5.872499942779541,734800
2001-08-07,5.852499961853027,933200
